<<<<<<< HEAD
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;conhece-chatgpt;utilizou-chatgpt;porque-utilizou-chatgpt;paraque-utilizou-chatgpt;grau-entendimento-perguntas;"percentual-resposta-errada
"; percentual-utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia-com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;vantagem-desvantagem-outras-ia;beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
25 -34;Feminino;Pós Graduação (MBA);Publicidade e Propaganda;Coaching de carreira;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução;4;2;3;5;5;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Análise avançada de dados;Não;Não consigo refletir sobre no momento;3;Não sei dizer;Observo que em minha área a sensibilidade humana sempre será insubstituível. O IA pode auxiliar a compreender de forma mais simples alguns aspectos, como perfis comportamentais, mapas de preferencias.. Coisas do tipo, mas a devolutiva e diagnostico dos relatórios sempre será primordial o contato pessoa-pessoa. ;;;;;;;
25 -34;Masculino;Pós Graduação (MBA);Comunicação Social ;Mídia ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Geração de ideias, Criação de conteúdo, Ajuda com resolução de problemas;3;3;4;5;5;5;Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Muito piores (que o Chat GPT);;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo;Não ;Aumento da produtividade ;3;Em um futuro próximo;Assistentes de comunicação;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Bacharel em Direito;Advocacia ;Não;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;;Melhoria da tomada de decisão;Não ;Linha predominante de entendimento sobre um assunto ;1;Não sei dizer;Nenhuma, cada caso tem suas particularidades e soluções precisam ser buscadas individualmente ;;;;;;;
50-59;Feminino;Doutorado;Arquitetura;Professora universitaria;Sim;Sim;Diversão/Curiosidade;Revisão de textos, Geração de ideias, Orientação de viagens;4;1;4;5;5;5;Não sei dizer;Não;;;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo;Nao;Nao utilizei a ferramenta a ponto de saber sua real.abrangencia;1;Não sei dizer;Em projetos de arquitetura,  os projetos mais basicos e simples acredito que poderão ser realizados por IA ;;;;;;;
25 -34;Feminino;Pós Graduação (MBA);Jornalismo;Relações Públicas;Sim;Sim;Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Criação de conteúdo;4;1;4;5;5;5;Melhoria na compreensão de textos, Trazer informações atualizadas e recentes., Habilidade de identificar sarcasmo e ironia., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras.;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Não;Texto;3;Em um futuro distante;Escrever textos;;;;;;;
25 -34;Feminino;Mestrado;RP;Comunicação ;Sim;Sim;Diversão/Curiosidade, Estudos;"Geração de ideias, Curiosidades e fatos triviais, Busca de referências sobre um tema; exercício em sala da diferença da análise pela I.A. e análise humana; exercício em sala na busca de temas e seu aprofundamento; Criação de poesia.";5;3;2;2;5;4;Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos.;Sim;DALL-E, Shazam;Iguais;"As vantagens são respostas rápidas, categorizadas, ideias prontas, poupa tempo para outras práticas; desvantagem pode ser que talvez nem sempre as respostas estejam certas; desacostumar quem precisa escrever extensamente e tem ali de prontidão.";Otimização de tempo, Automatização de tarefas;Não, por enquanto ;Organização de relatório com valores de serviços ;3;Em um futuro próximo;"Produção de conteúdo e automatização de publicações; criação de sites.";É preciso desenvolver a competência em informação, tecnologias, para o trabalho ser valorizado em análises e até gestão dessas ferramentas que entram para o cotidiano, mas assim como qualquer produto, também se torna obsoleto uma hora, como diz o cientista Nicholelis. Já como diz o Sidarta Ribeiro, podemos aproveitar dessas inovações para deixar que elas resolvam atividades que nos exigem um bom tempo que poderemos dedicar ao que realmente nos importa em qualidade de vida. ;;;;;;
40-49;Feminino;Pós Graduação (MBA);Relações Públicas;Estudante de pós graduação;Sim;Sim;Diversão/Curiosidade;Geração de ideias;4;2;4;4;5;3;Aumento da capacidade de compreender e gerar conteúdo multilíngue., Integração de recursos multimídia/foto nas respostas.;Não;;;;Otimização de tempo, Automatização de tarefas;Não;NÃO;3;Em um futuro distante;Criação de briefing;;;;;;;
35-39;Feminino;Doutorado;Arquitetura ;Professora no curso de arquitetura ;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon);Muito melhores (que o Chat GPT);Comando por voz, facilidade de acesso, disponibilidade ;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Realidade aumentada;Deveria propriciar maior integracao e gestao das atividades ;3;Em um futuro próximo;Atendimento ao publico, gestão e administração ;;;;;;;
25 -34;Feminino;Pós Graduação (MBA);Administração;Vendas;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Geração de ideias, Criação de conteúdo;4;1;5;5;5;5;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Cortana (Microsoft);Iguais;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Não;Não;4;Em um futuro distante;;;;;;;;
50-59;Feminino;Doutorado;Engenharia Elétrica ;Docente no Ensino Superior ;Sim;Sim;Assistência profissional;Geração de ideias;4;3;2;3;3;4;Incorporação de conhecimento especializado em áreas específicas.;Não;;;;Aumento da produtividade;Não;O ChatGPT,algumas vezes,  traz referências bibliográficas inexistentes, bem como explicações muito erradas, quando se trata de assuntos específicos da área de tecnologia. Na minha opinião, ao invés de trazer erros, deveria ter uma resposta como: não encontrado;3;Hoje;A tutoria de cursos Ead, por exemplo ;;;;;;;
40-49;Masculino;Pós Graduação (MBA);jornalismo;tecnologia;Sim;Sim;Diversão/Curiosidade;Ajuda com resolução de problemas;1;5;1;1;1;1;Melhoria na compreensão de textos, Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais)., Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Cortana (Microsoft), Google Translate, Shazam;Melhores;;Aumento da produtividade, Otimização de tempo;não;encontrar informações que o humano não conseguiu encontrar;2;Não sei dizer;;;;;;;;
40-49;Feminino;Mestrado;Jornalismo e pedagogia ;Professora educação infantil e freelancer comunicação ;Sim;Não;;;;;;;;;;;Google Translate;Nunca utilizei outras ferramentas.;;Traz um dado ou informação que eu não tinha ;Não ;Confiabilidade e uma seleção de informações adequadas para o meu trabalho.  Por ex, músicas educação infantil que não sejam esteriotipadas. A IA poderia ter critérios nesse sentido.;3;Não sei dizer;Produção de materiais ;A pergunta q pede para comparar o chat GT com outras ferramentas não se aplica nesse questionário, quando pessoas como eu, nunca usou. (Fica aqui uma observação a vcs sobre as alternativas das respostas para essa pergunta do formulário. Não tem.;;;;;;
60+;Feminino;Mestrado;Letras ;Tradução ;Sim;Não;;;;;;;;;;;Google Translate;Iguais;;Análise avançada de dados;Não ;Não cabe no meu caso ;2;Em um futuro distante;;;;;;;;
25 -34;Feminino;Mestrado;Jornalismo;Estudante de doutorado e empreendedora;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Geração de ideias, Ajuda com resolução de problemas;5;3;4;5;4;4;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Integração de recursos multimídia/foto nas respostas., Interação com outros aplicativos (word, excel);Sim;Google Assistant, Alexa (Amazon), DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp), Craiyon;Iguais;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Midjourney, Craiyon, DALL-E;.;3;Em um futuro distante;Bons redatores/copywriters/jornalistas precisam atuar com um componente humano, então enquanto a IA não conseguir produzir conteúdos com essas características, nunca substituirá esses profissionais. Mas os redatores/copywriters/jornalistas medianos com certeza serão substituídos em breve. ;;;;;;;
50-59;Feminino;Pós Graduação (MBA);Jornalista ;Assessoria de Imprensa ;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais;2;4;1;1;1;1;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais).;Não;;;;Análise avançada de dados, Oferecer dados/informação, possibilitando o cruzamento de informações sem interpretações ou conclusões ;NÃO ;Ampla coleta e cruzamento de informações e dados;1;;;;;;;;;
25 -34;Masculino;Mestrado;Relações Públicas;Professor de Ensino Básico;Sim;Sim;Assistência profissional;Ajuda com tarefas escolares, Resumo de textos e produção de tópicos para sala de aula e redes sociais;4;3;4;5;5;3;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Identificação de informações incorretas ou falsas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate, Shazam;Muito piores (que o Chat GPT);A capacidade de compreensão do ChatGPT é muito maior e mais aprimorada do que a Alexa, por exemplo, que tem muita dificuldade de interpretação de perguntas e comentários.;Aumento da produtividade, Otimização de tempo, Análise avançada de dados;Não;leitura de texto em pdf;2;Em um futuro distante;Na tarefa de correção e triagem de avaliações e trabalhos, onde se fornece um padrão esperado e ela reúne respostas e faz uma pré-avaliação. Permitir uma correção totalmente automatizada, contudo, parece em um futuro distante, já que demanda um olhar subjetivo acerca de aspectos do estudante que a máquina não capta.;;;;;;;
>>>>>>> 55a8913c004d3bf7715bab79d038d735de0e8c3c
50-59;Feminino;Doutorado;Arquitetura e Urbanismo;Professor universitário ;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Curiosidades e fatos triviais;3;3;4;4;4;4;Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Não;;;;Otimização de tempo, Análise avançada de dados;Não;Melhor interação em português. ;1;Não sei dizer;;;;;;;;
40-49;Masculino;Mestrado;Jornalismo;Estudante de Doutorado;Sim;Sim;Pesquisa acadêmica;Geração de ideias, Criação de conteúdo;5;2;3;4;5;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Google Assistant, Alexa (Amazon), Cortana (Microsoft), Bixby (Samsung), Google Translate;Iguais;Outras ferramentas de IA já são desenvolvidas há mais tempo do que o ChatGPT e, portanto, encontram-se mais consolidadas em termos de funcionalidades, podendo inclusive responder a perguntas baseando-se em dados mais atualizados. Este é o caso, notadamente, da Amazon Alexa, embora esta, assim como outras ferramentas de IA, não seja isenta do cometimento de erros. No entanto, o ChatGPT possui uma capacidade muito mais ampla de geração de conteúdo, ainda que com limitações e de uma forma sujeita a equívocos, que carece de aperfeiçoamento.;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Existem outras ferramentas de IA generativa que já podem ser utilizadas, tais como o Google Bard e o Bing Chat, mas também outras desenvolvidas especificamente para o exercício do jornalismo, a exemplo da Newspack.;Integração dos fluxos de trabalho de uma redação jornalística.;3;Em um futuro próximo;Analista de dados e editor/revisor de textos são alguns exemplos de funções/cargos no jornalismo que podem vir a ser desempenhada(o)s integralmente por ferramentas de IA em um futuro próximo.;A progressiva automação de tarefas rotineiras e que são recorrentes em larga escala já é uma realidade no jornalismo há alguns anos. Contudo, ainda mais levando-se em consideração a tendência de se utilizar ferramentas de IA para a execução de tarefas cada vez mais complexas, a supervisão humana segue e continuará sendo imprescindível para a preservação da qualidade e da credibilidade do conteúdo jornalístico, cuja produção nunca poderá deixar de ser submetida a padrões técnicos e éticos que balizam a prática profissional.;;;;;;
